stage,progress,timesteps,training_wall_time_s,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
warmup,0.16666666666666666,100000,887.7714765579999,844.346263588715,92.73652640776166,40.0,0.08333333333333333,33.58,0.0,0.06175,0.021041666666666667,1.7068622965179603,3.241752772599588,0.7695988262799577
block_01_mixed_upper,0.25,150000,1378.957904031,1076.086779959651,85.19032386370586,40.0,0.5833333333333334,30.754285714285714,0.0,0.12470833333333335,0.046625,1.847822131197945,3.1887954194442503,0.8117657061482678
block_02_mixed_full,0.3333333333333333,200000,1865.7407817849999,138.5785050523185,87.76192437995782,40.0,0.0,nan,0.0,0.0,0.0,-1.6674506851637692,0.40480676066611876,0.9710972975009945
block_03_mixed_upper,0.4166666666666667,250000,2356.96537997,1060.4648160131012,115.60097590677125,40.0,0.5,32.20666666666667,0.0,0.12258333333333332,0.05320833333333333,1.9653910749445966,3.150158077563559,0.8199628341209867
block_04_mixed_full,0.5,300000,2842.054728152,244.52074948554844,241.4379744524383,40.0,0.08333333333333333,33.12,0.0,0.013208333333333334,0.0042499999999999994,-0.9328306418283981,0.8486771799221976,0.9391574036490676
block_05_mixed_upper,0.5833333333333334,350000,3325.542478674,1060.4648160131012,115.60097590677125,40.0,0.5,32.20666666666667,0.0,0.12258333333333332,0.05320833333333333,1.9653910749445966,3.150158077563559,0.8199628341209867
block_06_mixed_full,0.6666666666666666,400000,3797.8923423040005,244.52074948554844,241.4379744524383,40.0,0.08333333333333333,33.12,0.0,0.013208333333333334,0.0042499999999999994,-0.9328306418283981,0.8486771799221976,0.9391574036490676
block_07_mixed_upper,0.75,450000,4285.658453061001,1060.4648160131012,115.60097590677125,40.0,0.5,32.20666666666667,0.0,0.12258333333333332,0.05320833333333333,1.9653910749445966,3.150158077563559,0.8199628341209867
block_08_mixed_full,0.8333333333333334,500000,4772.8730359070005,244.52074948554844,241.4379744524383,40.0,0.08333333333333333,33.12,0.0,0.013208333333333334,0.0042499999999999994,-0.9328306418283981,0.8486771799221976,0.9391574036490676
block_09_mixed_upper,0.9166666666666666,550000,5259.808735872,1060.4648160131012,115.60097590677125,40.0,0.5,32.20666666666667,0.0,0.12258333333333332,0.05320833333333333,1.9653910749445966,3.150158077563559,0.8199628341209867
block_10_mixed_full,1.0,600000,5747.2939188870005,244.52074948554844,241.4379744524383,40.0,0.08333333333333333,33.12,0.0,0.013208333333333334,0.0042499999999999994,-0.9328306418283981,0.8486771799221976,0.9391574036490676
