stage,progress,timesteps,training_wall_time_s,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
warmup,0.16666666666666666,100000,599.7647084370001,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_01_mixed_upper,0.25,150000,927.1133803870002,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_02_mixed_upper,0.3333333333333333,200000,1259.7761393570001,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_03_mixed_upper,0.4166666666666667,250000,1594.8599412290002,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_04_mixed_full,0.5,300000,1928.0435429330003,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_05_mixed_full,0.5833333333333334,350000,2261.9305958800005,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_06_mixed_full,0.6666666666666666,400000,2598.2957932740005,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_07_mixed_downward,0.75,450000,2933.0454676980003,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_08_mixed_downward,0.8333333333333334,500000,3270.470471858,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_09_mixed_downward,0.9166666666666666,550000,3615.5852645630002,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_10_mixed_downward,1.0,600000,3959.2949865020005,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
