stage,progress,timesteps,training_wall_time_s,difficulty,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
warmup,0.16666666666666666,100000,22.085362981999992,0.0,116.09077815540729,9.362068650071269,40.0,0.0,nan,0.0,0.0,0.0,-1.8679611118746617,0.24862776082931695,0.9762932721350651
block_01_d0p000,0.20833333333333334,125000,27.579217745999983,0.0,591.8541243963936,76.27591363971978,40.0,0.16666666666666666,33.34,0.0,0.024916666666666667,0.005958333333333333,1.249059917356993,2.6799773357740357,0.7648521816380375
block_02_d0p000,0.25,150000,33.08902111699999,0.0,920.9409398687775,161.4787457675626,40.0,0.0,nan,0.0,0.07095833333333333,0.03291666666666667,1.6365056849103052,5.755567216733792,0.8315206668740937
block_03_d0p000,0.2916666666666667,175000,38.63594466299999,0.0,895.2879712952754,123.85617892480009,40.0,0.08333333333333333,29.64,0.0,0.07629166666666666,0.029833333333333333,1.777056490874652,4.04879967729486,0.8612467880708169
block_04_d0p000,0.3333333333333333,200000,44.163800980999994,0.0,933.4814308193727,155.77046988393792,40.0,0.08333333333333333,23.38,0.0,0.072875,0.033791666666666664,1.6967152653285116,5.476986913163727,0.9413451625665114
block_05_d0p050,0.375,225000,49.68568967299997,0.05,306.61008214954904,346.0398297485608,40.0,0.08333333333333333,25.560000000000002,0.0,0.02591666666666666,0.010625,-0.960168481414453,1.236097888507119,0.9813552170558458
block_06_d0p050,0.4166666666666667,250000,55.213265980999964,0.05,714.0689134168864,324.70211337701534,40.0,0.08333333333333333,24.02,0.0,0.05170833333333333,0.0195,1.1032163575304053,3.863050797361062,0.9673936989785519
block_07_d0p050,0.4583333333333333,275000,60.743138256999984,0.05,968.5256162337519,135.83326283972272,40.0,0.08333333333333333,19.38,0.0,0.08525,0.03458333333333333,1.8184087430024463,4.7007911903722155,0.9524059987461589
block_08_d0p050,0.5,300000,66.29135565599996,0.05,900.0836934413783,196.304844347337,40.0,0.08333333333333333,22.18,0.0,0.08650000000000001,0.03825,1.879179623012065,5.191431807969451,0.9430873887200443
block_09_d0p100,0.5416666666666666,325000,71.81711185199997,0.1,1017.0708892298591,82.90055936996752,40.0,0.08333333333333333,19.3,0.0,0.10483333333333333,0.04679166666666667,1.9703785721826648,6.052544131284674,0.9535787604752994
block_10_d0p100,0.5833333333333334,350000,77.32878736799996,0.1,1018.9189565478072,90.47374934560203,40.0,0.0,nan,0.0,0.11091666666666666,0.048749999999999995,1.9570864315296592,6.097002462314788,0.9652746261653884
block_11_d0p000,0.625,375000,82.84002815699996,0.0,895.2879712952754,123.85617892480009,40.0,0.08333333333333333,29.64,0.0,0.07629166666666666,0.029833333333333333,1.777056490874652,4.04879967729486,0.8612467880708169
block_12_d0p000,0.6666666666666666,400000,88.32756840399996,0.0,933.4814308193727,155.77046988393792,40.0,0.08333333333333333,23.38,0.0,0.072875,0.033791666666666664,1.6967152653285116,5.476986913163727,0.9413451625665114
block_13_d0p025,0.7083333333333334,425000,93.82303367899995,0.025,306.61008214954904,346.0398297485608,40.0,0.08333333333333333,25.560000000000002,0.0,0.02591666666666666,0.010625,-0.960168481414453,1.236097888507119,0.9813552170558458
block_14_d0p025,0.75,450000,99.31622744499994,0.025,112.48630703916638,2.5124605620690414,40.0,0.0,nan,0.0,0.0,0.0,-1.9039810229882115,0.2427396846830441,0.9991462973619889
block_15_d0p000,0.7916666666666666,475000,104.81531725099994,0.0,895.2879712952754,123.85617892480009,40.0,0.08333333333333333,29.64,0.0,0.07629166666666666,0.029833333333333333,1.777056490874652,4.04879967729486,0.8612467880708169
block_16_d0p000,0.8333333333333334,500000,110.30248923199996,0.0,933.4814308193727,155.77046988393792,40.0,0.08333333333333333,23.38,0.0,0.072875,0.033791666666666664,1.6967152653285116,5.476986913163727,0.9413451625665114
block_17_d0p025,0.875,525000,115.79243920699996,0.025,306.61008214954904,346.0398297485608,40.0,0.08333333333333333,25.560000000000002,0.0,0.02591666666666666,0.010625,-0.960168481414453,1.236097888507119,0.9813552170558458
block_18_d0p025,0.9166666666666666,550000,121.27787139999997,0.025,112.48630703916638,2.5124605620690414,40.0,0.0,nan,0.0,0.0,0.0,-1.9039810229882115,0.2427396846830441,0.9991462973619889
block_19_d0p000,0.9583333333333334,575000,126.78985971299998,0.0,895.2879712952754,123.85617892480009,40.0,0.08333333333333333,29.64,0.0,0.07629166666666666,0.029833333333333333,1.777056490874652,4.04879967729486,0.8612467880708169
block_20_d0p000,1.0,600000,132.289709793,0.0,933.4814308193727,155.77046988393792,40.0,0.08333333333333333,23.38,0.0,0.072875,0.033791666666666664,1.6967152653285116,5.476986913163727,0.9413451625665114
final_model,1.0,600000,132.289709793,0.0,933.4814308193727,155.77046988393792,40.0,0.08333333333333333,23.38,0.0,0.072875,0.033791666666666664,1.6967152653285116,5.476986913163727,0.9413451625665114
