stage,progress,timesteps,training_wall_time_s,difficulty,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
warmup,0.16666666666666666,100000,589.936908344,0.0,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_01_d0p000,0.20833333333333334,125000,750.6219004720001,0.0,113.0590899255344,3.3792157725061474,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133355236,0.25062738478916563,0.9991870387066397
block_02_d0p000,0.25,150000,913.017739953,0.0,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_03_d0p000,0.2916666666666667,175000,1076.39389961,0.0,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_04_d0p100,0.3333333333333333,200000,1239.618495145,0.1,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_05_d0p100,0.375,225000,1402.7720784189999,0.1,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_06_d0p100,0.4166666666666667,250000,1566.0705803709998,0.1,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_07_d0p200,0.4583333333333333,275000,1730.1525132319998,0.2,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_08_d0p200,0.5,300000,1893.9526355899998,0.2,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_09_d0p200,0.5416666666666666,325000,2057.6922701229996,0.2,1039.4529668464118,432.7441904645907,40.0,0.5,27.423333333333332,0.0,0.156625,0.09729166666666668,1.3436965298468955,2.5281845758071904,0.9347186307584606
block_10_d0p200,0.5833333333333334,350000,2220.55342283,0.2,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_11_d0p200,0.625,375000,2384.391820821,0.2,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_12_d0p200,0.6666666666666666,400000,2547.6373275729998,0.2,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_13_d0p200,0.7083333333333334,425000,2713.3913269719997,0.2,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_14_d0p200,0.75,450000,2878.1448942429997,0.2,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_15_d0p200,0.7916666666666666,475000,3043.0588878259996,0.2,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_16_d0p200,0.8333333333333334,500000,3207.8373838959997,0.2,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_17_d0p200,0.875,525000,3372.3669698789995,0.2,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_18_d0p200,0.9166666666666666,550000,3535.8247380959997,0.2,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_19_d0p200,0.9583333333333334,575000,3699.1083459819997,0.2,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_20_d0p200,1.0,600000,3864.044396296,0.2,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
final_model,1.0,600000,3864.044396296,0.2,1039.4529668464118,432.7441904645907,40.0,0.5,27.423333333333332,0.0,0.156625,0.09729166666666668,1.3436965298468955,2.5281845758071904,0.9347186307584606
