stage,progress,timesteps,training_wall_time_s,difficulty,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,stable_ratio,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
warmup,0.16666666666666666,100000,29.764828475,0.0,863.4689591012452,138.51342937390987,40.0,0.0,nan,0.0,0.002625,0.07516666666666666,0.029374999999999995,1.89988072200012,4.885047683925261,0.8331647447033625
block_01_d0p000,0.20833333333333334,125000,37.131151852,0.0,101.75080049816943,0.26290124184652897,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9805058072284945,0.04183098558532036,0.5109935368575713
block_02_d0p000,0.25,150000,44.46425933100001,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_03_d0p000,0.2916666666666667,175000,51.80087782300002,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_04_d0p000,0.3333333333333333,200000,59.12313224100002,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_05_d0p000,0.375,225000,66.53554391500002,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_06_d0p000,0.4166666666666667,250000,73.81763788700003,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_07_d0p000,0.4583333333333333,275000,81.22894458800003,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_08_d0p000,0.5,300000,88.51119254600003,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_09_d0p000,0.5416666666666666,325000,95.74399201400003,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_10_d0p000,0.5833333333333334,350000,102.99066070000005,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_11_d0p000,0.625,375000,110.30843658300007,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_12_d0p000,0.6666666666666666,400000,117.54197294500007,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_13_d0p000,0.7083333333333334,425000,124.79258292200002,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_14_d0p000,0.75,450000,132.021369149,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_15_d0p000,0.7916666666666666,475000,139.26442161299997,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_16_d0p000,0.8333333333333334,500000,146.641528021,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_17_d0p000,0.875,525000,153.89612109,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_18_d0p000,0.9166666666666666,550000,161.195389659,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_19_d0p000,0.9583333333333334,575000,168.495593665,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
block_20_d0p000,1.0,600000,175.75933653100003,0.0,100.49942978809197,0.24903030810542728,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9935063006085854,0.041956279151320074,0.03641951135481406
final_model,1.0,600000,175.75933653100003,0.0,863.4689591012452,138.51342937390987,40.0,0.0,nan,0.0,0.002625,0.07516666666666666,0.029374999999999995,1.89988072200012,4.885047683925261,0.8331647447033625
